hedge_cue,pos,parent,gparent,ggparent,gggparent,ejemplos no scope
proposing,VBG,1,0,0,0,0,
indicated_that,VBD,24,0,0,0,5, S567.4 S644.8 S86.7 S824.5 S297.14
raises_the_possibility,VBZ,3,0,0,0,0,
addressed_the_question_of,VBD,1,0,0,0,0,
would,MD,2,2,0,0,0,
assumed,VBN,0,0,2,0,0,
support,VBP,1,0,0,0,1, S517.10
increasing_evidence,VBG,1,0,0,0,0,
indicate,VB,1,0,0,0,0,
indicate,VBP,2,0,0,0,0,
assumption,NN,0,0,0,0,1, S299.14
and\/or_might,CC,0,0,1,0,0,
expected,VBN,0,1,0,0,0,
proposal,NN,0,0,0,0,1, S387.10
indicate_that,VBP,83,1,0,0,14, S579.7 S619.8 S721.7 S753.9 S789.11 S849.12 S315.12 S275.6 S932.9 S427.8 S448.10
not_elucidated,RB,0,1,0,0,0,
suggestions,NNS,0,1,0,0,0,
not_known,RB,0,2,0,0,2, S752.4 S868.3
apparent,JJ,4,0,0,0,1, S448.11
suspected,VBN,0,0,1,0,0,
believe,VBP,1,0,0,0,0,
presumed,VBN,0,0,0,1,0,
might_or,MD,0,1,0,0,0,
indicates,VBZ,2,0,0,0,0,
whether,IN,56,0,0,0,0,
raising_the_possibility,VBG,0,0,0,0,1, S668.4
considered,VBN,0,1,0,0,0,
suggestive,JJ,2,0,0,0,0,
suppose,VBP,1,0,0,0,0,
can,MD,29,6,0,0,2, S79.12 S406.5
believed,VBN,1,0,3,1,0,
indicated,VBD,1,0,0,0,0,
Perhaps,RB,0,0,1,0,1, S152.16
Whether_unknown,IN,0,0,1,0,0,
either_or,CC,15,0,0,0,4, S18.6 S741.9 S880.4 S949.13
Hypothetically,RB,0,0,1,0,0,
refer_to,VBP,1,0,0,0,0,
unlikely,JJ,1,0,0,0,0,
seem,VB,0,0,2,0,1, S583.6
seem,VBP,1,1,0,0,0,
apparently,RB,0,1,0,0,1, S659.10
if,IN,9,0,0,0,1, S335.3
perhaps,RB,1,1,0,0,3, S8.10 S735.10 S930.8
suggest,VB,2,0,0,0,0,
suggest,VBP,189,4,0,0,18, S516.10 S583.9 S191.5 S168.11 S73.11 S741.9 S336.7 S802.14 S842.12 S844.10 S319.7
Possible,JJ,0,2,0,0,1, S145.7
implicating,VBG,1,0,0,0,0,
potential,NN,0,0,0,0,1, S585.11
potential,JJ,18,1,0,0,5, S583.3 S114.3 S812.1 S928.5 S932.7
potentially,RB,4,0,0,0,6, S14.1 S846.9 S292.14 S875.10 S933.8 S350.3
raise_the_hypothesis,VBP,0,0,0,0,1, S937.9
not_evident,RB,0,0,0,0,1, S985.2
evaluated_for,VBN,0,0,0,0,1, S47.2
conclusion,NN,0,0,0,0,1, S416.10
raise_the_possibility,VBP,0,1,0,0,0,
may,MD,283,28,1,0,23, S583.9 S605.11 S611.9 S649.3 S119.11 S185.8 S128.10 S43.8 S71.4 S688.10 S716.5
raised_the_possibility,VBD,1,0,0,0,0,
indicating_that,VBG,33,0,0,0,2, S280.6 S427.11
probable,JJ,1,0,0,0,0,
implies,VBZ,4,0,0,0,0,
imply,VB,1,0,0,0,0,
imply,VBP,8,0,0,0,0,
and\/or,CC,1,0,0,0,4, S119.11 S191.5 S129.8 S297.3
compelling_evidence,JJ,0,0,0,0,1, S530.11
thought,VBN,2,7,6,2,5, S560.2 S45.7 S677.3 S289.3 S493.6
implied,VBD,1,0,0,0,0,
notion,NN,0,0,0,0,2, S798.9 S423.9
hope,VBP,1,0,0,0,0,
